dataset,method,q,model,fold,F12,G12,a1,a2,b1,b2,n1,n2,coverage,beta_pos,beta_neg,S_val,S_test,t_reducer,t_model,unary_device,n_selected,selected_indices
DS-B,HSIC_Lasso,5,UnaryMLP,1,0.3267373123868234,0.20128416867065105,0.38870431893687707,0.2825361512791991,0.21926910299003322,0.18687430478309233,301,899,0.42750000953674316,0.9920992851257324,0.9787976741790771,0.2764984139081736,0.27641627021916065,2.0632096719928086,0.0,cuda:0,,
DS-B,HSIC_Lasso,5,UnaryMLP,2,0.41534181073271803,0.15615861679907023,0.46179401993355484,0.3781979977753059,0.12956810631229235,0.19799777530589543,301,899,0.48416668176651,0.9984375238418579,0.9937114715576172,0.3770728821905629,0.37630215653295046,0.11716475302819163,0.0,cuda:0,,
DS-B,HSIC_Lasso,5,UnaryMLP,3,0.42358552441281316,0.2222193138638603,0.44518272425249167,0.40489432703003336,0.24916943521594684,0.20133481646273638,301,899,0.48000001907348633,0.9641987681388855,0.9894518852233887,0.3806818237786901,0.3680306959468481,0.1313058170489967,0.0,cuda:0,,
DS-B,HSIC_Lasso,5,UnaryMLP,4,0.4577315039016302,0.22420115084874526,0.4883720930232558,0.43159065628476084,0.24584717607973422,0.20689655172413793,301,899,0.5066666603088379,0.9906763434410095,0.9859448075294495,0.4204866040218781,0.40168121618944386,0.11274984304327518,0.0,cuda:0,,
DS-B,HSIC_Lasso,5,UnaryMLP,5,0.4395884037235199,0.17882731287521034,0.44370860927152317,0.4365256124721604,0.17218543046357615,0.1870824053452116,302,898,0.49166667461395264,0.9911265969276428,0.994100034236908,0.3861400770630016,0.39488157550471736,0.12264112499542534,0.0,cuda:0,,
DS-B,HSIC_Lasso,10,UnaryMLP,1,0.2726850136795092,0.15986609531946008,0.3687707641196013,0.21690767519466073,0.2059800664451827,0.13125695216907676,301,899,0.4658333361148834,0.9914010167121887,1.0034091472625732,0.2369838199942989,0.2327184898496442,0.1634006870444864,0.0,cuda:0,,
DS-B,HSIC_Lasso,10,UnaryMLP,2,0.2787738048034696,0.14184726945103596,0.3687707641196013,0.22469410456062291,0.1362126245847176,0.14905450500556172,301,899,0.42000001668930054,1.0036466121673584,1.0104233026504517,0.22860177306761825,0.2433119874407106,0.1474948610411957,0.0,cuda:0,,
DS-B,HSIC_Lasso,10,UnaryMLP,3,0.3026829333432482,0.20650107820652103,0.3953488372093023,0.24582869855394884,0.23920265780730898,0.18242491657397109,301,899,0.45250001549720764,0.982814610004425,0.9993637800216675,0.27305405537938154,0.2510576637916179,0.1465034489519894,0.0,cuda:0,,
DS-B,HSIC_Lasso,10,UnaryMLP,4,0.30665440599181254,0.19845007858526778,0.3289036544850498,0.28809788654060065,0.34219269102990035,0.14015572858731926,301,899,0.5250000357627869,0.969251811504364,1.0043466091156006,0.29195308416439064,0.2570418863454956,0.14844265498686582,0.0,cuda:0,,
DS-B,HSIC_Lasso,10,UnaryMLP,5,0.23479591063182276,0.14284855568171456,0.2847682119205298,0.20044543429844097,0.20860927152317882,0.1091314031180401,302,898,0.45750001072883606,1.0076323747634888,1.0057899951934814,0.22088792549603925,0.19908377171139413,0.1732542390236631,0.0,cuda:0,,
DS-B,HSIC_Lasso,15,UnaryMLP,1,0.23499339399435498,0.15554325364040714,0.2591362126245847,0.21579532814238042,0.16943521594684385,0.1446051167964405,301,899,0.4033333361148834,0.9800717830657959,1.0051811933517456,0.2124040905231244,0.1961075805842532,0.23486801492981613,0.0,cuda:0,,
DS-B,HSIC_Lasso,15,UnaryMLP,2,0.32917790089787746,0.26725476674526477,0.36212624584717606,0.3025583982202447,0.3023255813953488,0.24026696329254726,301,899,0.42750000953674316,0.9814620018005371,0.9943656325340271,0.2737450258128279,0.2623642092115613,0.24535758199635893,0.0,cuda:0,,
DS-B,HSIC_Lasso,15,UnaryMLP,3,0.27502223612677174,0.18481954677773285,0.3588039867109635,0.2235817575083426,0.18272425249169436,0.18798665183537264,301,899,0.4558333456516266,0.9950934052467346,1.0010530948638916,0.25299717766590646,0.22881734943233853,0.20997061405796558,0.0,cuda:0,,
DS-B,HSIC_Lasso,15,UnaryMLP,4,0.2883731479865883,0.10536252386555736,0.2425249169435216,0.35706340378198,0.10963455149501661,0.10233592880978866,301,899,0.4416666626930237,1.0216796398162842,0.9973928928375244,0.27545039061614407,0.262032517020199,0.24539395596366376,0.0,cuda:0,,
DS-B,HSIC_Lasso,15,UnaryMLP,5,0.23546581267617023,0.19763270169335528,0.2119205298013245,0.2661469933184855,0.18543046357615894,0.21269487750556793,302,898,0.34416666626930237,0.9634629487991333,0.9958744049072266,0.21800953396741812,0.18605763725283142,0.25398575502913445,0.0,cuda:0,,
DS-B,Ensembleunar,5,UnaryMLP,1,0.3936303141182363,0.0795465494908714,0.4485049833887043,0.3515016685205784,0.16943521594684385,0.05228031145717464,301,899,0.51583331823349,0.9948698282241821,1.0040887594223022,0.39231397193211426,0.37374367674551845,2662.538656454999,0.0,cuda:0,5.0,"5,6,9,18,25"
