dataset,method,q,model,AUC_mean,AUC_std,PR_AUC_mean,PR_AUC_std,dAUC_mean,dAUC_std,dPR_mean,dPR_std,t_red_med,t_mod_med
DS-B,PCA,5,GaussianNB,0.5967672890628632,0.00837614030265841,0.32736471484000096,0.01859087491525316,-0.19203566883917414,0.010268630284172317,-0.2596510252331596,0.010362319051338807,0.0010086980182677507,0.0007097909692674875
DS-B,PCA,5,KNN,0.6017759404018305,0.015198740426142979,0.33022132591549974,0.012038179586064311,-0.19416065716234343,0.02760045547453331,-0.24189861943599703,0.024760626098699286,0.0010086980182677507,0.0015186290256679058
DS-B,PCA,5,SVM_rbf,0.6745990961530663,0.01435117227934749,0.4386090281897144,0.02042189573959995,-0.23937412818235249,0.011798930334596319,-0.4112902922775078,0.011155515117708877,0.0010086980182677507,1.1722075400175527
DS-B,PCA,5,HGBT,0.6848531338266997,0.014816154309959806,0.4326137535497292,0.022067572762993117,-0.2730576866876251,0.01419441555573111,-0.47322144410531397,0.02045184515906933,0.0010086980182677507,0.27548933401703835
DS-B,PCA,5,MLP,0.6502967582566817,0.014516682360769665,0.39588443965672077,0.023587140023098953,-0.28756769205487986,0.014345286260598866,-0.469101659506853,0.015401355355379252,0.0010086980182677507,7.3551930780522525
DS-B,PCA,5,ShrinkageLDA,0.5558585916956948,0.019291973174876777,0.2960247328273888,0.018414136454234644,-0.2913404774611119,0.021849616638274297,-0.42276442368793254,0.019146254468673882,0.0010086980182677507,0.0017867130227386951
DS-B,PCA,5,LogRegL2,0.5557128618843709,0.018963764909655234,0.29583522601807244,0.01822057554301744,-0.2934572392708823,0.023185274527779014,-0.43792033827051063,0.017448823658535836,0.0010086980182677507,0.025169202010147274
DS-B,PCA,5,QDA,0.5973177866808432,0.011124002259889914,0.3301277511336359,0.019688355139781705,-0.3136670210035953,0.011118064206082795,-0.4923351261231728,0.006447893628256116,0.0010086980182677507,0.0006244350224733353
DS-B,PCA,5,SVM_linear,0.4937402348027936,0.03872815547793298,0.2647066693997864,0.02255400844051807,-0.3503755275860897,0.0372944926558556,-0.4779809136474773,0.02346135852782971,0.0010086980182677507,0.6029923260211945
DS-B,PCA,10,KDEBayes,0.7623219183702368,0.01971713982445226,0.4984605451049561,0.03772583946397407,0.04809824807262406,0.019670319027537634,0.053945682713308477,0.03361457022623146,0.0010358940344303846,0.002281098044477403
DS-B,PCA,10,GaussianNB,0.7913891752489015,0.01301176296751492,0.5616092669454338,0.02630314182872467,0.0025862173468640393,0.006746147469532014,-0.025406473127726703,0.009882246204314089,0.0010358940344303846,0.000791658996604383
DS-B,PCA,10,KNN,0.7717068381921054,0.01562882456971507,0.4879881130275262,0.02606846985672846,-0.024229759372068525,0.009880527529992278,-0.08413183232397059,0.020033217941777114,0.0010358940344303846,0.002356693963520229
DS-B,PCA,10,SVM_rbf,0.8603935475473545,0.014102205267614156,0.6644817028158699,0.024103989149047936,-0.05357967678806432,0.016411012754604815,-0.18541761765135234,0.01862088234435901,0.0010358940344303846,0.8534655850380659
DS-B,PCA,10,ShrinkageLDA,0.7661462245521393,0.014811297062868801,0.4597359863884332,0.017026477389297277,-0.08105284460466751,0.017869082538812614,-0.2590531701268882,0.027527223207495857,0.0010358940344303846,0.003005070029757917
DS-B,PCA,10,HGBT,0.8746387186110915,0.006253440167343766,0.6787699397063365,0.008976917384736948,-0.08327210190323328,0.0036834003831036,-0.22706525794870674,0.008196190477112137,0.0010358940344303846,0.28119861299637705
DS-B,PCA,10,LogRegL2,0.7653550033312715,0.011746389451769819,0.4604923771948261,0.01792482196896717,-0.08381509782398171,0.016710178974292795,-0.27326318709375697,0.02126900729567504,0.0010358940344303846,0.0649804889690131
DS-B,PCA,10,QDA,0.82268619131006,0.013094054360339835,0.5930089486152904,0.025617249432840352,-0.08829861637437852,0.013293089041207863,-0.22945392864151834,0.011218260202508606,0.0010358940344303846,0.0012554890708997846
DS-B,PCA,10,MLP,0.8366230802228918,0.01272122829040422,0.5984462011390286,0.03081147735627581,-0.1012413700886698,0.012272587251585691,-0.26653989802454525,0.031657909720160526,0.0010358940344303846,12.202919972944073
DS-B,PCA,10,SVM_linear,0.731211357615776,0.0075155716918499605,0.44609233310197566,0.015414272928362352,-0.11290440477310719,0.012595647062329657,-0.2965952499452879,0.024272436351905426,0.0010358940344303846,0.9773836040403694
DS-B,PCA,15,KDEBayes,0.7346070933000284,0.01516153976173946,0.4555857676790323,0.022494661838007128,0.0203834230024158,0.017294978478441043,0.011070905287384702,0.029949551502649805,0.0010875799925997853,0.002814798033796251
DS-B,PCA,15,GaussianNB,0.8045678285253028,0.015129301251240616,0.5841886443048999,0.037494096707406194,0.015764870623265592,0.008020987679800027,-0.0028270957682606348,0.024245868599822924,0.0010875799925997853,0.0008660950697958469
DS-B,PCA,15,SVM_rbf,0.8782655568315993,0.0184648370855082,0.7057758453922276,0.0338698054747285,-0.035707667503819526,0.018652146675000873,-0.14412347507499468,0.025302695550245852,0.0010875799925997853,0.8772884369827807
DS-B,PCA,15,KNN,0.7594067843866809,0.02065907261772919,0.4775184695808223,0.01981418644186193,-0.03652981317749311,0.015674597337493417,-0.09460147577067443,0.014528353806740156,0.0010875799925997853,0.002910248003900051
DS-B,PCA,15,ShrinkageLDA,0.7859482849438523,0.01592216462575656,0.4945340473042756,0.01688919266396888,-0.06125078421295445,0.016718984656683155,-0.22425510921104577,0.02945040280596312,0.0010875799925997853,0.003443332971073687
DS-B,PCA,15,QDA,0.8496215009972549,0.017988526055916578,0.6414109717390789,0.04071798591463091,-0.06136330668718375,0.016646422704770555,-0.18105190551772982,0.030902767584061595,0.0010875799925997853,0.0014925870345905423
DS-B,PCA,15,LogRegL2,0.7877879250685169,0.01792333592459787,0.5131601193375976,0.027216947684971293,-0.06138217608673633,0.020030663221354095,-0.22059544495098535,0.03649865747480774,0.0010875799925997853,0.049867806024849415
DS-B,PCA,15,SVM_linear,0.7825264476034544,0.02343639686503328,0.5136421506978495,0.026101929080318123,-0.06158931478542893,0.02522988748124641,-0.22904543234941413,0.03391154530986875,0.0010875799925997853,1.4742992450483143
DS-B,PCA,15,MLP,0.8751443979940314,0.015310514934239206,0.6890038682942032,0.034562855878905265,-0.06272005231753017,0.0162125836335986,-0.1759822308693706,0.03341703192697353,0.0010875799925997853,6.929618166992441
