dataset,method,q,model,fold,AUC,PR_AUC,ΔAUC,ΔPR_AUC,AUC_base,PR_AUC_base,t_reducer,t_model,t_model_base,n_selected,selected_indices
DS-B,Ensembleunar,10,KDEBayes,4,0.9584366534983499,0.9053982501346486,0.2626506380289654,0.48454694741695603,0.6957860154693846,0.42085130271769255,2669.5260122710606,0.002568003023043275,0.004962397972121835,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,MLP,5,0.9805896842136315,0.9555446243515655,0.03739361937491692,0.07262482930413017,0.9431960648387145,0.8829197950474353,2668.782656097086,2.1735112640308216,3.5033783620456234,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,HGBT,5,0.9645643741058126,0.9208369919486574,0.009037743919526608,0.019277300833812627,0.955526630186286,0.9015596911148448,2668.782656097086,0.20151504105888307,0.32669533300213516,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,SVM_linear,5,0.8538990250593667,0.7476811731086062,-0.005555022935441412,-0.010110172882082935,0.8594540479948081,0.7577913459906891,2668.782656097086,0.9550783738959581,1.6893412789795548,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,SVM_rbf,5,0.9568725202436614,0.9167306743331864,0.035938951901945515,0.05278142335040337,0.9209335683417159,0.8639492509827831,2668.782656097086,0.46102181903552264,0.9349848259007558,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,KNN,5,0.9497466776796119,0.8626233532393821,0.15533599315624125,0.2840094351870225,0.7944106845233706,0.5786139180523596,2668.782656097086,0.0024313110625371337,0.0002795889740809798,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,GaussianNB,5,0.7872940603843714,0.6086928644174314,0.009166801870233998,0.024774546098740968,0.7781272585141374,0.5839183183186905,2668.782656097086,0.0007227810565382242,0.0017271259566769004,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,QDA,5,0.914301833360374,0.8169654719949133,0.0028945854658622983,-0.0039991922813618075,0.9114072478945117,0.8209646642762751,2668.782656097086,0.001241425983607769,0.0050008989637717605,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,ShrinkageLDA,5,0.8562663166123394,0.7403950148887086,-0.0011799584064662305,0.0015517963794011713,0.8574462750188057,0.7388432185093075,2668.782656097086,0.0030405400320887566,0.006126277963630855,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,LogRegL2,5,0.8561778197318545,0.7383865167163779,-0.004959512677178091,-0.006703849339619095,0.8611373324090326,0.745090366055997,2668.782656097086,0.06904002605006099,0.25768875202629715,10,"2,5,6,9,18,22,25,26,27,29"
DS-B,Ensembleunar,10,KDEBayes,5,0.9590075074853612,0.9085575377337843,0.2572567441997671,0.4874767499147841,0.7017507632855942,0.4210807878190002,2668.782656097086,0.002526966971345246,0.00905246997717768,10,"2,5,6,9,18,22,25,26,27,29"
